Film,Rating,Link
Doraemon: Nobita's Chronicle of the Moon Exploration (2019),7.2,https://indoxx1.center//movie/doraemon-nobitas-chronicle-of-the-moon-exploration-2019-cbue
Friend Zone (2019),7.5,https://indoxx1.center//movie/friend-zone-2019-chll
Ma (2019),6.1,https://indoxx1.center//movie/ma-2019-aro0
Annabelle Comes Home (2019),6.9,https://indoxx1.center//movie/annabelle-comes-home-2019-b611
The White Storm 2: Drug Lords (2019),6.2,https://indoxx1.center//movie/the-white-storm-2-drug-lords-2019-azmj
Wu Assassins (2019),7,https://indoxx1.center//film-seri/wu-assassins-2019-1uxss1
Parasite (2019),8.6,https://indoxx1.center//movie/parasite-2019-amwj
Aladdin (2019),7.4,https://indoxx1.center//movie/aladdin-2019-90pd
Good Boys (2019),6.7,https://indoxx1.center//movie/good-boys-2019-b6lt
Spider-Man: Far from Home (2019),8.2,https://indoxx1.center//movie/spider-man-far-from-home-2019-97ht
John Wick: Chapter 3 - Parabellum (2019),8.2,https://indoxx1.center//movie/john-wick-chapter-3-parabellum-2019-9tik
Men in Black International (2019),5.5,https://indoxx1.center//movie/men-in-black-international-2019-a9y7
X-Men: Dark Phoenix (2019),5.9,https://indoxx1.center//movie/x-men-dark-phoenix-2019-6v4w
Godzilla: King of the Monsters (2019),6.7,https://indoxx1.center//movie/godzilla-king-of-the-monsters-2019-808z
Sextuplets (2019),6.2,https://indoxx1.center//movie/sextuplets-2019-chii
Crawl (2019),7,https://indoxx1.center//movie/crawl-2019-az1v
Avengers: Endgame (2019),8.7,https://indoxx1.center//movie/avengers-endgame-2019-6f4e
The Hustle (2019),5,https://indoxx1.center//movie/the-hustle-2019-9mvu
Scary Stories to Tell in the Dark (2019),6.6,https://indoxx1.center//movie/scary-stories-to-tell-in-the-dark-2019-8y20
Once Upon a Time ... in Hollywood (2019),9.1,https://indoxx1.center//movie/once-upon-a-time-in-hollywood-2019-9zs0
Hellboy (2019),5.3,https://indoxx1.center//movie/hellboy-2019-9sf8
Brightburn (2019),6.8,https://indoxx1.center//movie/brightburn-2019-bdyl
Night Hunter (2019),6.7,https://indoxx1.center//movie/night-hunter-2019-9ghu
Monkey King Da Nao Long Gong (2019),,https://indoxx1.center//movie/monkey-king-da-nao-long-gong-2019-3knze
